src	dest	type	weight
Regulatory compliance	Nationality	∧	4
Regulatory compliance	Nationality	→	0
Regulatory compliance	Nationality	∨	0
Regulatory compliance	Immigration Status	∧	1
Regulatory compliance	Immigration Status	→	0
Regulatory compliance	Immigration Status	∨	0
Regulatory compliance	Promotes violence and warfare	∧	1
Regulatory compliance	Promotes violence and warfare	→	0
Regulatory compliance	Promotes violence and warfare	∨	0
Promotes violence and warfare	Regulatory compliance	∧	1
Promotes violence and warfare	Regulatory compliance	→	0
Promotes violence and warfare	Regulatory compliance	∨	0
Promotes sustainability	Family values	∧	0
Promotes sustainability	Family values	→	0
Promotes sustainability	Family values	∨	1
Promotes sustainability	Being well-informed and educated is important	∧	0
Promotes sustainability	Being well-informed and educated is important	→	1
Promotes sustainability	Being well-informed and educated is important	∨	0
not negative	Family values	∧	1
not negative	Family values	→	0
not negative	Family values	∨	0
not negative	Reduction of costs and dependencies	∧	1
not negative	Reduction of costs and dependencies	→	0
not negative	Reduction of costs and dependencies	∨	0
promotes safety and well-being	not negative	∧	2
promotes safety and well-being	not negative	→	0
promotes safety and well-being	not negative	∨	0
promotes safety and well-being	Family values	∧	1
promotes safety and well-being	Family values	→	0
promotes safety and well-being	Family values	∨	0
promotes safety and well-being	Reduction of costs and dependencies	∧	1
promotes safety and well-being	Reduction of costs and dependencies	→	0
promotes safety and well-being	Reduction of costs and dependencies	∨	0
Reduction of costs and dependencies	Family values	∧	1
Reduction of costs and dependencies	Family values	→	0
Reduction of costs and dependencies	Family values	∨	0
Reduction of costs and dependencies	Age	∧	1
Reduction of costs and dependencies	Age	→	0
Reduction of costs and dependencies	Age	∨	0
Reduction of costs and dependencies	not negative	∧	1
Reduction of costs and dependencies	not negative	→	0
Reduction of costs and dependencies	not negative	∨	0
Reduction of costs and dependencies	promotes safety and well-being	∧	1
Reduction of costs and dependencies	promotes safety and well-being	→	0
Reduction of costs and dependencies	promotes safety and well-being	∨	0
Location	Unethical behavior	∧	3
Location	Unethical behavior	→	0
Location	Unethical behavior	∨	0
Location	Promotes social and economic equality	∧	1
Location	Promotes social and economic equality	→	0
Location	Promotes social and economic equality	∨	0
Location	Regulatory compliance	∧	1
Location	Regulatory compliance	→	1
Location	Regulatory compliance	∨	0
Location	International stability and peace	∧	1
Location	International stability and peace	→	0
Location	International stability and peace	∨	0
Location	Promotes peace and advocacy for improvements	∧	1
Location	Promotes peace and advocacy for improvements	→	0
Location	Promotes peace and advocacy for improvements	∨	0
Location	stance on Israel and Palestine	∧	1
Location	stance on Israel and Palestine	→	0
Location	stance on Israel and Palestine	∨	0
Location	Financial independence	∧	1
Location	Financial independence	→	0
Location	Financial independence	∨	0
Unethical behavior	Location	∧	3
Unethical behavior	Location	→	0
Unethical behavior	Location	∨	0
Involvement in government and decision-making	Involves altering existing regulations or policies	∧	2
Involvement in government and decision-making	Involves altering existing regulations or policies	→	0
Involvement in government and decision-making	Involves altering existing regulations or policies	∨	0
Involvement in government and decision-making	Reduction of costs and dependencies	∧	0
Involvement in government and decision-making	Reduction of costs and dependencies	→	1
Involvement in government and decision-making	Reduction of costs and dependencies	∨	0
Involvement in government and decision-making	Inflicts suffering	∧	0
Involvement in government and decision-making	Inflicts suffering	→	2
Involvement in government and decision-making	Inflicts suffering	∨	0
Reduction of costs and dependencies	Inflicts suffering	∧	0
Reduction of costs and dependencies	Inflicts suffering	→	0
Reduction of costs and dependencies	Inflicts suffering	∨	1
Reduction of costs and dependencies	Ethical	∧	1
Reduction of costs and dependencies	Ethical	→	0
Reduction of costs and dependencies	Ethical	∨	0
Inflicts suffering	Reduction of costs and dependencies	∧	0
Inflicts suffering	Reduction of costs and dependencies	→	0
Inflicts suffering	Reduction of costs and dependencies	∨	1
Inflicts suffering	Ethical	∧	1
Inflicts suffering	Ethical	→	0
Inflicts suffering	Ethical	∨	0
Not taking action to address social issues	Promotes peaceful resolution	∧	1
Not taking action to address social issues	Promotes peaceful resolution	→	0
Not taking action to address social issues	Promotes peaceful resolution	∨	0
Promotes peaceful resolution	Not taking action to address social issues	∧	1
Promotes peaceful resolution	Not taking action to address social issues	→	0
Promotes peaceful resolution	Not taking action to address social issues	∨	0
Prioritizes safety and security	Unaffiliated with the Middle East	∧	1
Prioritizes safety and security	Unaffiliated with the Middle East	→	1
Prioritizes safety and security	Unaffiliated with the Middle East	∨	0
Not taking action to address social issues	Position on capital gains tax	∧	0
Not taking action to address social issues	Position on capital gains tax	→	1
Not taking action to address social issues	Position on capital gains tax	∨	0
Not taking action to address social issues	Relevant	∧	1
Not taking action to address social issues	Relevant	→	0
Not taking action to address social issues	Relevant	∨	0
Position on capital gains tax	Relevant	∧	1
Position on capital gains tax	Relevant	→	0
Position on capital gains tax	Relevant	∨	0
promotes equality and accessibility for all	Relevant	∧	1
promotes equality and accessibility for all	Relevant	→	0
promotes equality and accessibility for all	Relevant	∨	0
not negative	not nationality-based	∧	2
not negative	not nationality-based	→	0
not negative	not nationality-based	∨	0
not negative	Prioritizes safety and security	∧	1
not negative	Prioritizes safety and security	→	0
not negative	Prioritizes safety and security	∨	0
not negative	involves substance abuse	∧	1
not negative	involves substance abuse	→	0
not negative	involves substance abuse	∨	0
not negative	Provides fair and livable wages for employees	∧	1
not negative	Provides fair and livable wages for employees	→	0
not negative	Provides fair and livable wages for employees	∨	0
not negative	Living wage	∧	1
not negative	Living wage	→	0
not negative	Living wage	∨	0
not negative	Stance on controversial issues	∧	0
not negative	Stance on controversial issues	→	1
not negative	Stance on controversial issues	∨	0
not negative	Ensures fair compensation for labor	∧	0
not negative	Ensures fair compensation for labor	→	1
not negative	Ensures fair compensation for labor	∨	0
not negative	Potential for violent behavior	∧	1
not negative	Potential for violent behavior	→	0
not negative	Potential for violent behavior	∨	0
promotes social equity	Offers competitive wages and treats workers with respect	∧	1
promotes social equity	Offers competitive wages and treats workers with respect	→	0
promotes social equity	Offers competitive wages and treats workers with respect	∨	0
Offers competitive wages and treats workers with respect	promotes social equity	∧	1
Offers competitive wages and treats workers with respect	promotes social equity	→	0
Offers competitive wages and treats workers with respect	promotes social equity	∨	0
Offers competitive wages and treats workers with respect	Does not align with moral values	∧	0
Offers competitive wages and treats workers with respect	Does not align with moral values	→	1
Offers competitive wages and treats workers with respect	Does not align with moral values	∨	0
Offers competitive wages and treats workers with respect	Fairness	∧	0
Offers competitive wages and treats workers with respect	Fairness	→	7
Offers competitive wages and treats workers with respect	Fairness	∨	0
Does not align with moral values	Fairness	∧	0
Does not align with moral values	Fairness	→	4
Does not align with moral values	Fairness	∨	0
Relevant	appealing to both locals and tourists	∧	1
Relevant	appealing to both locals and tourists	→	1
Relevant	appealing to both locals and tourists	∨	0
Relevant	Inflicts suffering	∧	1
Relevant	Inflicts suffering	→	0
Relevant	Inflicts suffering	∨	0
appealing to both locals and tourists	Inflicts suffering	∧	1
appealing to both locals and tourists	Inflicts suffering	→	0
appealing to both locals and tourists	Inflicts suffering	∨	0
Inflicts suffering	Relevant	∧	1
Inflicts suffering	Relevant	→	0
Inflicts suffering	Relevant	∨	0
Inflicts suffering	Age	∧	2
Inflicts suffering	Age	→	0
Inflicts suffering	Age	∨	0
Inflicts suffering	appealing to both locals and tourists	∧	1
Inflicts suffering	appealing to both locals and tourists	→	0
Inflicts suffering	appealing to both locals and tourists	∨	0
promotes lifelong learning	relevance	∧	1
promotes lifelong learning	relevance	→	0
promotes lifelong learning	relevance	∨	0
Impact on society and the environment	overall positive impact	∧	1
Impact on society and the environment	overall positive impact	→	2
Impact on society and the environment	overall positive impact	∨	0
Impact on society and the environment	Birthright citizenship	∧	1
Impact on society and the environment	Birthright citizenship	→	0
Impact on society and the environment	Birthright citizenship	∨	0
Impact on society and the environment	Considers impact on middle and lower class	∧	1
Impact on society and the environment	Considers impact on middle and lower class	→	0
Impact on society and the environment	Considers impact on middle and lower class	∨	0
Discrimination based on social status	Birthright citizenship	∧	1
Discrimination based on social status	Birthright citizenship	→	0
Discrimination based on social status	Birthright citizenship	∨	0
Discrimination based on social status	Considers impact on middle and lower class	∧	1
Discrimination based on social status	Considers impact on middle and lower class	→	0
Discrimination based on social status	Considers impact on middle and lower class	∨	0
Discrimination based on social status	Relevant	∧	0
Discrimination based on social status	Relevant	→	0
Discrimination based on social status	Relevant	∨	1
Discrimination based on social status	Represents the diversity and inclusivity of a community	∧	0
Discrimination based on social status	Represents the diversity and inclusivity of a community	→	0
Discrimination based on social status	Represents the diversity and inclusivity of a community	∨	1
Discrimination based on social status	Negative impact on mental, physical, or emotional well-being	∧	0
Discrimination based on social status	Negative impact on mental, physical, or emotional well-being	→	1
Discrimination based on social status	Negative impact on mental, physical, or emotional well-being	∨	0
Birthright citizenship	Considers impact on middle and lower class	∧	0
Birthright citizenship	Considers impact on middle and lower class	→	0
Birthright citizenship	Considers impact on middle and lower class	∨	1
Birthright citizenship	Impact on society and the environment	∧	1
Birthright citizenship	Impact on society and the environment	→	0
Birthright citizenship	Impact on society and the environment	∨	0
Birthright citizenship	Discrimination based on social status	∧	1
Birthright citizenship	Discrimination based on social status	→	0
Birthright citizenship	Discrimination based on social status	∨	0
Considers impact on middle and lower class	Birthright citizenship	∧	0
Considers impact on middle and lower class	Birthright citizenship	→	0
Considers impact on middle and lower class	Birthright citizenship	∨	1
Considers impact on middle and lower class	overall positive impact	∧	1
Considers impact on middle and lower class	overall positive impact	→	0
Considers impact on middle and lower class	overall positive impact	∨	0
Considers impact on middle and lower class	Impact on society and the environment	∧	1
Considers impact on middle and lower class	Impact on society and the environment	→	0
Considers impact on middle and lower class	Impact on society and the environment	∨	0
Considers impact on middle and lower class	Discrimination based on social status	∧	1
Considers impact on middle and lower class	Discrimination based on social status	→	0
Considers impact on middle and lower class	Discrimination based on social status	∨	0
Considers impact on middle and lower class	Safety	∧	0
Considers impact on middle and lower class	Safety	→	4
Considers impact on middle and lower class	Safety	∨	0
Represents the diversity and inclusivity of a community	Regarding school education	∧	1
Represents the diversity and inclusivity of a community	Regarding school education	→	0
Represents the diversity and inclusivity of a community	Regarding school education	∨	0
Socioeconomic Impact	overall positive impact	∧	2
Socioeconomic Impact	overall positive impact	→	0
Socioeconomic Impact	overall positive impact	∨	0
Socioeconomic Impact	Regarding school education	∧	1
Socioeconomic Impact	Regarding school education	→	0
Socioeconomic Impact	Regarding school education	∨	0
Regarding school education	Represents the diversity and inclusivity of a community	∧	1
Regarding school education	Represents the diversity and inclusivity of a community	→	0
Regarding school education	Represents the diversity and inclusivity of a community	∨	0
Regarding school education	Socioeconomic Impact	∧	1
Regarding school education	Socioeconomic Impact	→	0
Regarding school education	Socioeconomic Impact	∨	0
Promotes social and economic equality	Reliable	∧	1
Promotes social and economic equality	Reliable	→	0
Promotes social and economic equality	Reliable	∨	0
Promotes social and economic equality	Promotes positive and ethical change	∧	1
Promotes social and economic equality	Promotes positive and ethical change	→	0
Promotes social and economic equality	Promotes positive and ethical change	∨	0
Promotes social and economic equality	Upholding social justice and human rights	∧	1
Promotes social and economic equality	Upholding social justice and human rights	→	0
Promotes social and economic equality	Upholding social justice and human rights	∨	0
Promotes positive and ethical change	Upholding social justice and human rights	∧	0
Promotes positive and ethical change	Upholding social justice and human rights	→	1
Promotes positive and ethical change	Upholding social justice and human rights	∨	0
Promotes positive and ethical change	Promotes social and economic equality	∧	1
Promotes positive and ethical change	Promotes social and economic equality	→	0
Promotes positive and ethical change	Promotes social and economic equality	∨	0
Promotes positive and ethical change	Supports positive growth and well-being	∧	2
Promotes positive and ethical change	Supports positive growth and well-being	→	0
Promotes positive and ethical change	Supports positive growth and well-being	∨	0
Upholding social justice and human rights	Reliable	∧	1
Upholding social justice and human rights	Reliable	→	0
Upholding social justice and human rights	Reliable	∨	0
Upholding social justice and human rights	Promotes social and economic equality	∧	1
Upholding social justice and human rights	Promotes social and economic equality	→	0
Upholding social justice and human rights	Promotes social and economic equality	∨	0
Influence on international relations and culture	Holds a negative or opposing stance	∧	2
Influence on international relations and culture	Holds a negative or opposing stance	→	0
Influence on international relations and culture	Holds a negative or opposing stance	∨	0
Influence on international relations and culture	connected y ['immigration , school problems']	∧	1
Influence on international relations and culture	connected y ['immigration , school problems']	→	0
Influence on international relations and culture	connected y ['immigration , school problems']	∨	0
Holds a negative or opposing stance	Influence on international relations and culture	∧	2
Holds a negative or opposing stance	Influence on international relations and culture	→	0
Holds a negative or opposing stance	Influence on international relations and culture	∨	0
Holds a negative or opposing stance	connected y ['immigration , school problems']	∧	1
Holds a negative or opposing stance	connected y ['immigration , school problems']	→	0
Holds a negative or opposing stance	connected y ['immigration , school problems']	∨	0
connected y ['immigration , school problems']	Influence on international relations and culture	∧	1
connected y ['immigration , school problems']	Influence on international relations and culture	→	0
connected y ['immigration , school problems']	Influence on international relations and culture	∨	0
connected y ['immigration , school problems']	Holds a negative or opposing stance	∧	1
connected y ['immigration , school problems']	Holds a negative or opposing stance	→	0
connected y ['immigration , school problems']	Holds a negative or opposing stance	∨	0
connected y ['immigration , school problems']	Promotes peace and advocacy for improvements	∧	1
connected y ['immigration , school problems']	Promotes peace and advocacy for improvements	→	0
connected y ['immigration , school problems']	Promotes peace and advocacy for improvements	∨	0
Promotes peace and advocacy for improvements	connected y ['immigration , school problems']	∧	1
Promotes peace and advocacy for improvements	connected y ['immigration , school problems']	→	0
Promotes peace and advocacy for improvements	connected y ['immigration , school problems']	∨	0
Birthright citizenship	Reliable	∧	1
Birthright citizenship	Reliable	→	0
Birthright citizenship	Reliable	∨	0
not nationality-based	A non-entity	∧	2
not nationality-based	A non-entity	→	0
not nationality-based	A non-entity	∨	1
not nationality-based	Positive integration of Muslim immigrants	∧	1
not nationality-based	Positive integration of Muslim immigrants	→	0
not nationality-based	Positive integration of Muslim immigrants	∨	0
not nationality-based	promotes equality and inclusivity	∧	1
not nationality-based	promotes equality and inclusivity	→	0
not nationality-based	promotes equality and inclusivity	∨	0
Lack of functionality	financially unsustainable	∧	1
Lack of functionality	financially unsustainable	→	0
Lack of functionality	financially unsustainable	∨	0
Ethical	Commitment to religious beliefs	∧	1
Ethical	Commitment to religious beliefs	→	0
Ethical	Commitment to religious beliefs	∨	0
financially unsustainable	Commitment to religious beliefs	∧	1
financially unsustainable	Commitment to religious beliefs	→	0
financially unsustainable	Commitment to religious beliefs	∨	0
financially unsustainable	Lack of functionality	∧	1
financially unsustainable	Lack of functionality	→	0
financially unsustainable	Lack of functionality	∨	0
sustainability	Does not consume products containing high fructose corn syrup	∧	1
sustainability	Does not consume products containing high fructose corn syrup	→	0
sustainability	Does not consume products containing high fructose corn syrup	∨	0
Reliable	Does not consume products containing high fructose corn syrup	∧	1
Reliable	Does not consume products containing high fructose corn syrup	→	0
Reliable	Does not consume products containing high fructose corn syrup	∨	0
Reliable	Limited knowledge or understanding	∧	0
Reliable	Limited knowledge or understanding	→	1
Reliable	Limited knowledge or understanding	∨	0
Reliable	Commitment to religious beliefs	∧	1
Reliable	Commitment to religious beliefs	→	0
Reliable	Commitment to religious beliefs	∨	0
Reliable	Effectiveness	∧	1
Reliable	Effectiveness	→	0
Reliable	Effectiveness	∨	0
Does not consume products containing high fructose corn syrup	sustainability	∧	1
Does not consume products containing high fructose corn syrup	sustainability	→	0
Does not consume products containing high fructose corn syrup	sustainability	∨	0
Does not consume products containing high fructose corn syrup	Reliable	∧	1
Does not consume products containing high fructose corn syrup	Reliable	→	0
Does not consume products containing high fructose corn syrup	Reliable	∨	0
Lack of functionality	Balanced diet	∧	1
Lack of functionality	Balanced diet	→	0
Lack of functionality	Balanced diet	∨	0
Provides comprehensive and customized healthcare services	Public health impact	∧	1
Provides comprehensive and customized healthcare services	Public health impact	→	0
Provides comprehensive and customized healthcare services	Public health impact	∨	0
Public health impact	Provides comprehensive and customized healthcare services	∧	1
Public health impact	Provides comprehensive and customized healthcare services	→	0
Public health impact	Provides comprehensive and customized healthcare services	∨	0
Promotes overall well-being	Inappropriate	∧	1
Promotes overall well-being	Inappropriate	→	0
Promotes overall well-being	Inappropriate	∨	0
Fairness	Inappropriate	∧	0
Fairness	Inappropriate	→	0
Fairness	Inappropriate	∨	1
Fairness	Promotes overall well-being	∧	1
Fairness	Promotes overall well-being	→	0
Fairness	Promotes overall well-being	∨	0
Fairness	Opposes prescribing pain medication	∧	1
Fairness	Opposes prescribing pain medication	→	0
Fairness	Opposes prescribing pain medication	∨	0
Inappropriate	Promotes overall well-being	∧	1
Inappropriate	Promotes overall well-being	→	0
Inappropriate	Promotes overall well-being	∨	0
Inappropriate	Opposes prescribing pain medication	∧	1
Inappropriate	Opposes prescribing pain medication	→	0
Inappropriate	Opposes prescribing pain medication	∨	0
Inappropriate	Inflicts harm on others	∧	1
Inappropriate	Inflicts harm on others	→	0
Inappropriate	Inflicts harm on others	∨	0
Opposes prescribing pain medication	Inflicts harm on others	∧	1
Opposes prescribing pain medication	Inflicts harm on others	→	0
Opposes prescribing pain medication	Inflicts harm on others	∨	0
Opposes prescribing pain medication	Inappropriate	∧	1
Opposes prescribing pain medication	Inappropriate	→	0
Opposes prescribing pain medication	Inappropriate	∨	0
Opposes prescribing pain medication	Commitment to religious beliefs	∧	3
Opposes prescribing pain medication	Commitment to religious beliefs	→	0
Opposes prescribing pain medication	Commitment to religious beliefs	∨	0
Inflicts harm on others	Opposes prescribing pain medication	∧	1
Inflicts harm on others	Opposes prescribing pain medication	→	0
Inflicts harm on others	Opposes prescribing pain medication	∨	0
Inflicts harm on others	Inappropriate	∧	1
Inflicts harm on others	Inappropriate	→	0
Inflicts harm on others	Inappropriate	∨	0
Inflicts harm on others	Commitment to religious beliefs	∧	1
Inflicts harm on others	Commitment to religious beliefs	→	0
Inflicts harm on others	Commitment to religious beliefs	∨	0
altruistic behavior	Safety	∧	0
altruistic behavior	Safety	→	2
altruistic behavior	Safety	∨	0
altruistic behavior	altruistic behavior	∧	2
altruistic behavior	altruistic behavior	→	0
altruistic behavior	altruistic behavior	∨	0
altruistic behavior	Benefits society	∧	1
altruistic behavior	Benefits society	→	0
altruistic behavior	Benefits society	∨	0
Benefits society	altruistic behavior	∧	1
Benefits society	altruistic behavior	→	0
Benefits society	altruistic behavior	∨	0
Safety	job stability	∧	1
Safety	job stability	→	0
Safety	job stability	∨	0
Safety	promotes social equity	∧	1
Safety	promotes social equity	→	0
Safety	promotes social equity	∨	0
promotes social equity	Employment status	∧	1
promotes social equity	Employment status	→	0
promotes social equity	Employment status	∨	0
Employment status	promotes social equity	∧	1
Employment status	promotes social equity	→	0
Employment status	promotes social equity	∨	0
Employment status	skilled	∧	1
Employment status	skilled	→	0
Employment status	skilled	∨	0
small scale	High level of productivity	∧	2
small scale	High level of productivity	→	0
small scale	High level of productivity	∨	0
High level of productivity	small scale	∧	2
High level of productivity	small scale	→	0
High level of productivity	small scale	∨	0
High level of productivity	involves changes in y ['x , policies']	∧	1
High level of productivity	involves changes in y ['x , policies']	→	0
High level of productivity	involves changes in y ['x , policies']	∨	0
High level of productivity	creating mutual benefit	∧	1
High level of productivity	creating mutual benefit	→	0
High level of productivity	creating mutual benefit	∨	0
involves changes in y ['x , policies']	High level of productivity	∧	1
involves changes in y ['x , policies']	High level of productivity	→	0
involves changes in y ['x , policies']	High level of productivity	∨	0
involves changes in y ['x , policies']	job stability	∧	1
involves changes in y ['x , policies']	job stability	→	0
involves changes in y ['x , policies']	job stability	∨	0
Promotes harmful stereotypes	job stability	∧	1
Promotes harmful stereotypes	job stability	→	0
Promotes harmful stereotypes	job stability	∨	0
Promotes harmful stereotypes	Impact on society and individuals	∧	1
Promotes harmful stereotypes	Impact on society and individuals	→	0
Promotes harmful stereotypes	Impact on society and individuals	∨	1
Impact on society and individuals	Promotes harmful stereotypes	∧	1
Impact on society and individuals	Promotes harmful stereotypes	→	0
Impact on society and individuals	Promotes harmful stereotypes	∨	1
should be evaluated based on social impact	job stability	∧	3
should be evaluated based on social impact	job stability	→	0
should be evaluated based on social impact	job stability	∨	0
should be evaluated based on social impact	creating mutual benefit	∧	1
should be evaluated based on social impact	creating mutual benefit	→	0
should be evaluated based on social impact	creating mutual benefit	∨	0
Income disparity	Ensures fair labor practices	∧	0
Income disparity	Ensures fair labor practices	→	1
Income disparity	Ensures fair labor practices	∨	0
Income disparity	Promotes equal opportunity in education and employment	∧	1
Income disparity	Promotes equal opportunity in education and employment	→	0
Income disparity	Promotes equal opportunity in education and employment	∨	0
Income disparity	Reliable	∧	1
Income disparity	Reliable	→	0
Income disparity	Reliable	∨	0
Promotes equal opportunity in education and employment	Reliable	∧	1
Promotes equal opportunity in education and employment	Reliable	→	0
Promotes equal opportunity in education and employment	Reliable	∨	0
Promotes equal opportunity in education and employment	Income disparity	∧	1
Promotes equal opportunity in education and employment	Income disparity	→	0
Promotes equal opportunity in education and employment	Income disparity	∨	0
Promotes equal opportunity in education and employment	Ensures fair labor practices	∧	1
Promotes equal opportunity in education and employment	Ensures fair labor practices	→	0
Promotes equal opportunity in education and employment	Ensures fair labor practices	∨	0
Reliable	Promotes equal opportunity in education and employment	∧	1
Reliable	Promotes equal opportunity in education and employment	→	0
Reliable	Promotes equal opportunity in education and employment	∨	0
Reliable	Income disparity	∧	1
Reliable	Income disparity	→	0
Reliable	Income disparity	∨	0
Reliable	Ensures fair labor practices	∧	1
Reliable	Ensures fair labor practices	→	0
Reliable	Ensures fair labor practices	∨	0
financial	Tax treatment of capital gains	∧	1
financial	Tax treatment of capital gains	→	1
financial	Tax treatment of capital gains	∨	0
financial	criminal behavior	∧	2
financial	criminal behavior	→	0
financial	criminal behavior	∨	0
financial	Supports Republican policies	∧	1
financial	Supports Republican policies	→	1
financial	Supports Republican policies	∨	0
Financial support	Ensures fair labor practices	∧	1
Financial support	Ensures fair labor practices	→	0
Financial support	Ensures fair labor practices	∨	0
Financial support	Tax treatment of capital gains	∧	0
Financial support	Tax treatment of capital gains	→	1
Financial support	Tax treatment of capital gains	∨	0
Tax treatment of capital gains	Relevant	∧	1
Tax treatment of capital gains	Relevant	→	0
Tax treatment of capital gains	Relevant	∨	0
Tax treatment of capital gains	Wealth accumulation	∧	1
Tax treatment of capital gains	Wealth accumulation	→	0
Tax treatment of capital gains	Wealth accumulation	∨	0
Tax treatment of capital gains	produces negative outcomes	∧	1
Tax treatment of capital gains	produces negative outcomes	→	0
Tax treatment of capital gains	produces negative outcomes	∨	0
Tax treatment of capital gains	financial	∧	1
Tax treatment of capital gains	financial	→	0
Tax treatment of capital gains	financial	∨	0
Tax treatment of capital gains	Ensures fair labor practices	∧	0
Tax treatment of capital gains	Ensures fair labor practices	→	1
Tax treatment of capital gains	Ensures fair labor practices	∨	0
Tax treatment of capital gains	Impact on company success and profitability	∧	0
Tax treatment of capital gains	Impact on company success and profitability	→	1
Tax treatment of capital gains	Impact on company success and profitability	∨	0
Prioritizes a well-rounded curriculum	Contributes to the overall improvement of the labor force	∧	1
Prioritizes a well-rounded curriculum	Contributes to the overall improvement of the labor force	→	0
Prioritizes a well-rounded curriculum	Contributes to the overall improvement of the labor force	∨	0
Prioritizes a well-rounded curriculum	Job availability and opportunities	∧	0
Prioritizes a well-rounded curriculum	Job availability and opportunities	→	1
Prioritizes a well-rounded curriculum	Job availability and opportunities	∨	0
Contributes to the overall improvement of the labor force	Prioritizes a well-rounded curriculum	∧	1
Contributes to the overall improvement of the labor force	Prioritizes a well-rounded curriculum	→	0
Contributes to the overall improvement of the labor force	Prioritizes a well-rounded curriculum	∨	0
Contributes to the overall improvement of the labor force	Job availability and opportunities	∧	0
Contributes to the overall improvement of the labor force	Job availability and opportunities	→	1
Contributes to the overall improvement of the labor force	Job availability and opportunities	∨	0
Contributes to the overall improvement of the labor force	Fairness	∧	0
Contributes to the overall improvement of the labor force	Fairness	→	3
Contributes to the overall improvement of the labor force	Fairness	∨	0
Ensures fair wages and working conditions	Pursues financial gain	∧	0
Ensures fair wages and working conditions	Pursues financial gain	→	0
Ensures fair wages and working conditions	Pursues financial gain	∨	1
Ensures fair wages and working conditions	Location	∧	1
Ensures fair wages and working conditions	Location	→	0
Ensures fair wages and working conditions	Location	∨	0
Ensures fair wages and working conditions	conformity to established rules or standards	∧	1
Ensures fair wages and working conditions	conformity to established rules or standards	→	0
Ensures fair wages and working conditions	conformity to established rules or standards	∨	0
Ensures fair wages and working conditions	job stability	∧	1
Ensures fair wages and working conditions	job stability	→	0
Ensures fair wages and working conditions	job stability	∨	0
Pursues financial gain	Ensures fair wages and working conditions	∧	0
Pursues financial gain	Ensures fair wages and working conditions	→	0
Pursues financial gain	Ensures fair wages and working conditions	∨	1
Pursues financial gain	Location	∧	2
Pursues financial gain	Location	→	0
Pursues financial gain	Location	∨	0
Pursues financial gain	job stability	∧	1
Pursues financial gain	job stability	→	0
Pursues financial gain	job stability	∨	0
Pursues financial gain	Exceptional	∧	0
Pursues financial gain	Exceptional	→	1
Pursues financial gain	Exceptional	∨	0
Pursues financial gain	produces negative outcomes	∧	1
Pursues financial gain	produces negative outcomes	→	0
Pursues financial gain	produces negative outcomes	∨	0
Pursues financial gain	promotes social equity	∧	1
Pursues financial gain	promotes social equity	→	0
Pursues financial gain	promotes social equity	∨	0
Pursues financial gain	Represents the diversity and inclusivity of a community	∧	1
Pursues financial gain	Represents the diversity and inclusivity of a community	→	0
Pursues financial gain	Represents the diversity and inclusivity of a community	∨	0
Pursues financial gain	involves changes in y ['x , policies']	∧	1
Pursues financial gain	involves changes in y ['x , policies']	→	0
Pursues financial gain	involves changes in y ['x , policies']	∨	0
Pursues financial gain	Reduces harm caused by drug use	∧	2
Pursues financial gain	Reduces harm caused by drug use	→	0
Pursues financial gain	Reduces harm caused by drug use	∨	0
Pursues financial gain	Impact on society	∧	1
Pursues financial gain	Impact on society	→	0
Pursues financial gain	Impact on society	∨	0
Pursues financial gain	Stance on controversial issues	∧	1
Pursues financial gain	Stance on controversial issues	→	1
Pursues financial gain	Stance on controversial issues	∨	0
Pursues financial gain	relevance	∧	1
Pursues financial gain	relevance	→	0
Pursues financial gain	relevance	∨	0
Pursues financial gain	Promotes social and economic equality	∧	2
Pursues financial gain	Promotes social and economic equality	→	0
Pursues financial gain	Promotes social and economic equality	∨	0
conformity to established rules or standards	job stability	∧	0
conformity to established rules or standards	job stability	→	1
conformity to established rules or standards	job stability	∨	0
conformity to established rules or standards	Ensures fair wages and working conditions	∧	1
conformity to established rules or standards	Ensures fair wages and working conditions	→	0
conformity to established rules or standards	Ensures fair wages and working conditions	∨	0
conformity to established rules or standards	Takes a balanced and objective stance	∧	0
conformity to established rules or standards	Takes a balanced and objective stance	→	1
conformity to established rules or standards	Takes a balanced and objective stance	∨	0
conformity to established rules or standards	A non-entity	∧	1
conformity to established rules or standards	A non-entity	→	0
conformity to established rules or standards	A non-entity	∨	0
conformity to established rules or standards	not negative	∧	1
conformity to established rules or standards	not negative	→	0
conformity to established rules or standards	not negative	∨	0
conformity to established rules or standards	Ethical	∧	0
conformity to established rules or standards	Ethical	→	2
conformity to established rules or standards	Ethical	∨	0
conformity to established rules or standards	financially unsustainable	∧	1
conformity to established rules or standards	financially unsustainable	→	1
conformity to established rules or standards	financially unsustainable	∨	0
conformity to established rules or standards	Political Affiliation	∧	1
conformity to established rules or standards	Political Affiliation	→	0
conformity to established rules or standards	Political Affiliation	∨	0
conformity to established rules or standards	No direct relation to legal regulations	∧	0
conformity to established rules or standards	No direct relation to legal regulations	→	1
conformity to established rules or standards	No direct relation to legal regulations	∨	0
job stability	Location	∧	1
job stability	Location	→	0
job stability	Location	∨	0
job stability	Ensures fair wages and working conditions	∧	1
job stability	Ensures fair wages and working conditions	→	0
job stability	Ensures fair wages and working conditions	∨	0
job stability	Pursues financial gain	∧	1
job stability	Pursues financial gain	→	0
job stability	Pursues financial gain	∨	0
job stability	Takes a balanced and objective stance	∧	0
job stability	Takes a balanced and objective stance	→	1
